iter	Passed	Remaining
615	1395	870
616	1398	868
617	1401	866
618	1404	864
619	1407	862
620	1411	861
621	1414	859
622	1416	857
623	1420	855
624	1422	853
625	1425	851
626	1427	849
627	1430	847
628	1433	845
629	1436	843
630	1439	841
631	1442	839
632	1445	837
633	1447	835
634	1450	833
635	1453	832
636	1456	830
637	1459	827
638	1461	825
639	1464	823
640	1467	821
641	1470	819
642	1473	817
643	1475	815
644	1478	813
645	1481	811
646	1484	810
647	1486	807
648	1488	805
649	1490	802
650	1492	800
651	1494	797
652	1496	795
653	1499	793
654	1501	790
655	1504	788
656	1506	786
657	1508	784
658	1510	781
659	1512	779
660	1515	777
661	1517	774
662	1518	772
663	1520	769
664	1522	767
665	1524	764
666	1526	762
667	1528	759
668	1531	757
669	1533	755
670	1535	752
671	1537	750
672	1539	747
673	1541	745
674	1543	742
675	1545	740
676	1547	738
677	1549	735
678	1551	733
679	1553	731
680	1555	728
681	1557	726
682	1559	723
683	1562	721
684	1564	719
685	1566	716
686	1568	714
687	1570	712
688	1572	709
689	1574	707
690	1576	704
691	1578	702
692	1580	700
693	1582	697
694	1584	695
695	1586	692
696	1588	690
697	1590	688
698	1592	685
699	1595	683
700	1597	681
701	1599	678
702	1601	676
703	1602	673
704	1604	671
705	1606	669
706	1608	666
707	1611	664
708	1614	662
709	1616	660
710	1618	657
711	1620	655
712	1622	652
713	1623	650
714	1626	648
715	1628	645
716	1630	643
717	1632	641
718	1634	638
719	1636	636
720	1638	633
721	1640	631
722	1642	629
723	1645	627
724	1646	624
725	1648	622
726	1650	619
727	1652	617
728	1654	615
729	1657	612
730	1659	610
731	1661	608
732	1663	606
733	1665	603
734	1667	601
735	1669	598
736	1671	596
737	1673	594
738	1676	591
739	1678	589
740	1680	587
741	1681	584
742	1683	582
743	1685	580
744	1688	577
745	1690	575
746	1692	573
747	1694	570
748	1696	568
749	1698	566
750	1700	563
751	1702	561
752	1704	559
753	1707	556
754	1709	554
755	1711	552
756	1713	550
757	1715	547
758	1717	545
759	1719	543
760	1722	540
761	1724	538
762	1726	536
763	1728	533
764	1730	531
765	1731	529
766	1733	526
767	1736	524
768	1738	522
769	1740	519
770	1742	517
771	1744	515
772	1746	512
773	1748	510
774	1750	508
775	1752	505
776	1755	503
777	1757	501
778	1759	499
779	1761	496
780	1763	494
781	1765	492
782	1767	489
783	1770	487
784	1771	485
785	1774	483
786	1776	480
787	1778	478
788	1779	476
789	1781	473
790	1784	471
791	1786	469
792	1788	466
793	1790	464
794	1792	462
795	1794	459
796	1796	457
797	1798	455
798	1800	452
799	1802	450
800	1804	448
801	1806	446
802	1808	443
803	1810	441
804	1812	439
805	1814	436
806	1817	434
807	1819	432
808	1821	430
809	1823	427
810	1825	425
811	1826	422
812	1828	420
813	1830	418
814	1832	416
815	1834	413
816	1837	411
817	1839	409
818	1841	407
819	1843	404
820	1845	402
821	1847	400
822	1849	397
823	1851	395
824	1854	393
825	1856	391
826	1858	388
827	1860	386
828	1862	384
829	1864	381
830	1866	379
831	1868	377
832	1871	375
833	1873	372
834	1875	370
835	1877	368
836	1879	365
837	1881	363
838	1883	361
839	1885	359
840	1888	356
841	1890	354
842	1892	352
843	1894	350
844	1896	347
845	1898	345
846	1900	343
847	1903	341
848	1905	338
849	1908	336
850	1910	334
851	1912	332
852	1914	329
853	1916	327
854	1918	325
855	1920	323
856	1923	320
857	1925	318
858	1927	316
859	1929	314
860	1931	311
861	1933	309
862	1936	307
863	1938	305
864	1940	302
865	1942	300
866	1944	298
867	1946	295
868	1948	293
869	1950	291
870	1952	289
871	1954	286
872	1956	284
873	1958	282
874	1961	280
875	1963	277
876	1965	275
877	1967	273
878	1970	271
879	1972	268
880	1974	266
881	1975	264
882	1977	262
883	1980	259
884	1983	257
885	1985	255
886	1987	253
887	1989	250
888	1991	248
889	1993	246
890	1995	244
891	1998	241
892	2000	239
893	2002	237
894	2004	235
895	2006	232
896	2008	230
897	2010	228
898	2012	226
899	2015	223
900	2018	221
901	2020	219
902	2022	217
903	2024	214
904	2026	212
905	2028	210
906	2031	208
907	2032	205
908	2034	203
909	2036	201
910	2039	199
911	2040	196
912	2043	194
913	2045	192
914	2047	190
915	2049	187
916	2051	185
917	2053	183
918	2055	181
919	2057	178
920	2060	176
921	2062	174
922	2064	172
923	2067	170
924	2069	167
925	2071	165
926	2073	163
927	2075	161
928	2077	158
929	2079	156
930	2081	154
931	2083	151
932	2085	149
933	2087	147
934	2089	145
935	2091	143
936	2094	140
937	2096	138
938	2098	136
939	2100	134
940	2102	131
941	2104	129
942	2106	127
943	2109	125
944	2112	122
945	2115	120
946	2118	118
947	2121	116
948	2124	114
949	2127	111
950	2130	109
951	2133	107
952	2135	105
953	2138	103
954	2141	100
955	2144	98
956	2147	96
957	2150	94
958	2153	92
959	2156	89
960	2158	87
961	2161	85
962	2164	83
963	2166	80
964	2169	78
965	2172	76
966	2174	74
967	2177	71
968	2179	69
969	2182	67
970	2184	65
971	2187	63
972	2190	60
973	2193	58
974	2195	56
975	2197	54
976	2200	51
977	2203	49
978	2205	47
979	2208	45
980	2210	42
981	2212	40
982	2214	38
983	2216	36
984	2219	33
985	2221	31
986	2223	29
987	2225	27
988	2227	24
989	2229	22
990	2231	20
991	2233	18
992	2236	15
993	2238	13
994	2240	11
995	2242	9
996	2244	6
997	2246	4
998	2248	2
999	2250	0
